ano;cod_municipio;rd;nm_municipio;gre;cod_escola;nm_escola;tp_escola;p_em;nota_lp;nota_mt;nota_saep;idepe;mat_3em;tdi_3em;TP_LOCALIZACAO;IN_INTERNET;IN_NOTURNO;IN_EJA;QT_MAT_BAS;QT_MAT_MED_INT;QT_MAT_BAS_FEM;QT_MAT_BAS_MASC;QT_MAT_BAS_BRANCA;TX_MAT_MED_INT
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26128195;ESCOLA DE REFERENCIA EM ENSINO MEDIO JARBAS PERNAMBUCANO;SEMI_INTEGRAL;0,7;3,71;3,66;3,68;2,58;;61,7;Urbana;1;1;1;726;164;382;344;165;0,225895316804408
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26121247;ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM NABUCO;SEMI_INTEGRAL;0,93;3,98;3,79;3,88;3,62;;21,4;Urbana;1;1;1;435;261;256;179;32;0,6
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26127334;ESCOLA DE REFERENCIA EM ENSINO MEDIO JORNALISTA TRAJANO CHACON;SEMI_INTEGRAL;0,79;4,68;4,46;4,57;3,63;;9,4;Urbana;1;1;1;774;508;461;313;89;0,656330749354005
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26121654;ESCOLA DE REFERENCIA EM ENSINO MEDIO OLIVEIRA LIMA;SEMI_INTEGRAL;0,92;5,27;5,29;5,28;4,85;;14,9;Urbana;1;0;0;378;378;212;166;56;1
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26126109;ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE MACHADO;SEMI_INTEGRAL;0,88;3,79;3,51;3,65;3,22;;43;Urbana;1;1;1;442;196;249;193;56;0,443438914027149
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26121921;ESCOLA DE REFERENCIA EM ENSINO MEDIO SIZENANDO SILVEIRA;SEMI_INTEGRAL;0,8;4,16;4,24;4,2;3,37;;15,6;Urbana;1;0;0;562;562;334;228;56;1
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26123282;ESCOLA JOAQUIM TAVORA;SEMI_INTEGRAL;0,77;2,95;3,46;3,21;2,48;;43,8;Urbana;1;1;0;1203;246;603;600;194;0,204488778054863
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26125641;ESCOLA JOSE VILELA;SEMI_INTEGRAL;0,7;4,3;3,96;4,13;2,91;;71,7;Urbana;1;1;1;669;94;361;308;55;0,14050822122571
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26124696;ESCOLA MARIA RITA DA SILVA LESSA;SEMI_INTEGRAL;0,88;4,03;3,61;3,82;3,37;;53,7;Urbana;1;1;0;966;111;528;438;66;0,114906832298137
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26123819;ESCOLA MARIANO TEIXEIRA;SEMI_INTEGRAL;0,88;4,38;4,15;4,27;3,75;;42,8;Urbana;1;1;1;1075;341;594;481;134;0,317209302325581
2013;2611705;Agreste Central;Riacho das Almas;Agreste Centro Norte;26060124;ESCOLA DE REFERENCIA EM ENSINO MEDIO MANOEL BACELAR;SEMI_INTEGRAL;0,91;3,99;4,04;4,01;3,65;;37;Urbana;1;1;1;972;246;514;458;186;0,253086419753086
2013;2611804;Mata Sul;Ribeirão;Mata Sul;26102552;ESC REF EM ENS MED JOAO LOPES DE SIQUEIRA SANTOS;SEMI_INTEGRAL;0,77;4,85;4,99;4,92;3,81;;11,6;Urbana;0;1;1;711;601;415;296;182;0,845288326300985
2013;2612208;Sertão Central;Salgueiro;Sertão Central;26011344;ESC REF EM ENS MED PROFESSOR URBANO GOMES DE SA;SEMI_INTEGRAL;0,97;4,93;4,87;4,9;4,78;;13,2;Urbana;1;0;0;376;376;202;174;42;1
2013;2612406;Agreste Central;Sanharó;Sertão do Moxotó-Ipanema;26061023;ESCOLA DE REFERENCIA EM ENSINO MEDIO NOSSA SENHORA DE FATIMA;SEMI_INTEGRAL;0,9;4,5;4,96;4,73;4,24;;15;Urbana;1;1;1;436;410;283;153;131;0,940366972477064
2013;2612455;Sertão do Araripe;Santa Cruz;Sertão do Araripe;26154803;ESCOLA DE REFERENCIA EM ENSINO MEDIO ELVIRA GRANJA DE SOUZA;SEMI_INTEGRAL;0,94;4,18;4,48;4,33;4,07;;55,4;Urbana;1;1;0;629;312;387;242;101;0,496025437201908
2013;2612471;Sertão do Pajeú;Santa Cruz da Baixa Verde;Sertão do Alto Pajeú;26133985;ESCOLA DE REFERENCIA EM ENSINO MEDIO REGINA PACIS;SEMI_INTEGRAL;0,97;4,69;4,49;4,59;4,44;;23,6;Urbana;1;1;0;481;236;271;210;7;0,490644490644491
2013;2612703;Agreste Setentrional;Santa Maria do Cambucá;Vale do Capibaribe;26064294;ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO DAVID DE SOUZA;SEMI_INTEGRAL;0,92;4,78;5,29;5,04;4,62;;22;Urbana;1;1;1;277;210;179;98;115;0,758122743682311
2013;2612802;Sertão do Pajeú;Santa Terezinha;Sertão do Alto Pajeú;26019493;ESCOLA SANTA TEREZINHA;SEMI_INTEGRAL;0,98;3,98;3,88;3,93;3,85;;21,4;Urbana;1;1;1;770;151;471;299;42;0,196103896103896
2013;2613206;Agreste Meridional;São João;Agreste Meridional;26081059;ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO FERNANDES DA SILVA;SEMI_INTEGRAL;0,8;3,76;3,82;3,79;3,02;;61,2;Urbana;1;1;1;1002;398;610;392;175;0,397205588822355
2013;2613701;Metropolitana Recife;São Lourenço da Mata;Metropolitana Sul;26129094;ESCOLA DE REFERENCIA EM ENSINO MEDIO CONDE PEREIRA CARNEIRO;SEMI_INTEGRAL;0,92;4,76;4,73;4,74;4,36;;21,5;Urbana;1;1;1;998;775;569;429;270;0,776553106212425
2013;2613800;Agreste Setentrional;São Vicente Ferrer;Mata Norte;26071606;ESCOLA DE REFERENCIA EM ENSINO MEDIO CORONEL JOAO FRANCISCO;SEMI_INTEGRAL;0,95;4,77;4,42;4,6;4,36;;13,5;Urbana;1;0;0;368;291;262;106;75;0,790760869565217
2013;2613909;Sertão do Pajeú;Serra Talhada;Sertão do Alto Pajeú;26020971;ESCOLA DE REFERENCIA EM ENSINO MEDIO CORNELIO SOARES;SEMI_INTEGRAL;0,9;4,59;4,74;4,67;4,2;;25,7;Urbana;1;1;1;726;298;422;304;127;0,410468319559229
2013;2614006;Sertão Central;Serrita;Sertão Central;26013452;ESCOLA DE REFERENCIA EM ENSINO MEDIO DESEMBARGADOR JOAO PAES;SEMI_INTEGRAL;0,97;3,61;3,72;3,66;3,56;;51,7;Urbana;1;1;0;773;254;436;337;87;0,328589909443726
